Actual_Score,Predicted_Score,Performance_Category,Recommendation
98.5,97.070114,Excellent,Maintain current study habits and continue consistent academic performance.
86.5,88.58325,Excellent,Maintain current study habits and continue consistent academic performance.
85.6,83.17827,Good,Maintain regular study and attendance while focusing on areas with lower performance.
86.7,86.494736,Excellent,Maintain current study habits and continue consistent academic performance.
96.3,77.46999,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.9,86.82469,Excellent,Maintain current study habits and continue consistent academic performance.
63.4,71.518936,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.5,85.45613,Excellent,Maintain current study habits and continue consistent academic performance.
75.1,70.8853,Good,Maintain regular study and attendance while focusing on areas with lower performance.
88.1,74.10098,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.3,83.04205,Good,Maintain regular study and attendance while focusing on areas with lower performance.
100.0,99.31938,Excellent,Maintain current study habits and continue consistent academic performance.
96.4,95.122795,Excellent,Maintain current study habits and continue consistent academic performance.
80.2,82.914375,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.0,79.05362,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.7,84.34997,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.8,79.25861,Good,Maintain regular study and attendance while focusing on areas with lower performance.
83.0,88.5328,Excellent,Maintain current study habits and continue consistent academic performance.
80.7,86.875854,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,95.65721,Excellent,Maintain current study habits and continue consistent academic performance.
76.4,80.19377,Good,Maintain regular study and attendance while focusing on areas with lower performance.
86.2,74.28154,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.6,88.533844,Excellent,Maintain current study habits and continue consistent academic performance.
71.3,71.23035,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.4,94.40436,Excellent,Maintain current study habits and continue consistent academic performance.
73.5,76.16542,Good,Maintain regular study and attendance while focusing on areas with lower performance.
68.4,77.178314,Good,Maintain regular study and attendance while focusing on areas with lower performance.
79.9,78.7441,Good,Maintain regular study and attendance while focusing on areas with lower performance.
91.6,91.201164,Excellent,Maintain current study habits and continue consistent academic performance.
83.0,86.09099,Excellent,Maintain current study habits and continue consistent academic performance.
86.3,85.58069,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,96.948906,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,98.772125,Excellent,Maintain current study habits and continue consistent academic performance.
70.7,77.9852,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.5,90.18497,Excellent,Maintain current study habits and continue consistent academic performance.
84.3,88.85361,Excellent,Maintain current study habits and continue consistent academic performance.
95.8,88.46139,Excellent,Maintain current study habits and continue consistent academic performance.
74.7,79.92262,Good,Maintain regular study and attendance while focusing on areas with lower performance.
76.0,74.94168,Good,Maintain regular study and attendance while focusing on areas with lower performance.
94.6,91.70798,Excellent,Maintain current study habits and continue consistent academic performance.
70.8,74.170044,Good,Maintain regular study and attendance while focusing on areas with lower performance.
76.5,81.948,Good,Maintain regular study and attendance while focusing on areas with lower performance.
70.7,77.891914,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.5,87.11879,Excellent,Maintain current study habits and continue consistent academic performance.
79.6,83.54389,Good,Maintain regular study and attendance while focusing on areas with lower performance.
76.9,76.20942,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.9,85.92447,Excellent,Maintain current study habits and continue consistent academic performance.
76.2,72.491745,Good,Maintain regular study and attendance while focusing on areas with lower performance.
71.6,67.92316,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
93.1,95.09007,Excellent,Maintain current study habits and continue consistent academic performance.
70.4,73.953445,Good,Maintain regular study and attendance while focusing on areas with lower performance.
63.7,66.02096,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
72.1,77.8507,Good,Maintain regular study and attendance while focusing on areas with lower performance.
72.0,74.8271,Good,Maintain regular study and attendance while focusing on areas with lower performance.
85.3,75.38577,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.1,85.33228,Excellent,Maintain current study habits and continue consistent academic performance.
83.3,85.877975,Excellent,Maintain current study habits and continue consistent academic performance.
97.9,84.5473,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.4,86.78329,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,99.571304,Excellent,Maintain current study habits and continue consistent academic performance.
80.4,76.69615,Good,Maintain regular study and attendance while focusing on areas with lower performance.
71.2,68.87251,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
97.3,98.045525,Excellent,Maintain current study habits and continue consistent academic performance.
59.5,79.47511,Good,Maintain regular study and attendance while focusing on areas with lower performance.
89.8,84.94552,Good,Maintain regular study and attendance while focusing on areas with lower performance.
97.6,84.00266,Good,Maintain regular study and attendance while focusing on areas with lower performance.
69.2,67.48313,At Risk,"Increase study time, improve attendance, and provide targeted academic support."
67.7,76.35061,Good,Maintain regular study and attendance while focusing on areas with lower performance.
100.0,95.92251,Excellent,Maintain current study habits and continue consistent academic performance.
82.6,83.93477,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.1,90.21921,Excellent,Maintain current study habits and continue consistent academic performance.
84.8,77.148605,Good,Maintain regular study and attendance while focusing on areas with lower performance.
61.7,74.82765,Good,Maintain regular study and attendance while focusing on areas with lower performance.
93.9,87.1763,Excellent,Maintain current study habits and continue consistent academic performance.
66.6,72.76207,Good,Maintain regular study and attendance while focusing on areas with lower performance.
75.6,82.51488,Good,Maintain regular study and attendance while focusing on areas with lower performance.
87.6,85.74086,Excellent,Maintain current study habits and continue consistent academic performance.
94.3,87.98434,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,98.19707,Excellent,Maintain current study habits and continue consistent academic performance.
67.7,78.052155,Good,Maintain regular study and attendance while focusing on areas with lower performance.
88.5,99.89923,Excellent,Maintain current study habits and continue consistent academic performance.
60.8,84.34218,Good,Maintain regular study and attendance while focusing on areas with lower performance.
74.3,77.11992,Good,Maintain regular study and attendance while focusing on areas with lower performance.
84.8,84.74368,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.3,83.36723,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.9,84.82937,Good,Maintain regular study and attendance while focusing on areas with lower performance.
76.2,74.82994,Good,Maintain regular study and attendance while focusing on areas with lower performance.
75.4,79.62392,Good,Maintain regular study and attendance while focusing on areas with lower performance.
68.6,73.68058,Good,Maintain regular study and attendance while focusing on areas with lower performance.
95.1,87.5594,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,93.96679,Excellent,Maintain current study habits and continue consistent academic performance.
100.0,99.733894,Excellent,Maintain current study habits and continue consistent academic performance.
83.6,81.237015,Good,Maintain regular study and attendance while focusing on areas with lower performance.
92.5,91.2982,Excellent,Maintain current study habits and continue consistent academic performance.
78.5,74.46689,Good,Maintain regular study and attendance while focusing on areas with lower performance.
80.1,70.34581,Good,Maintain regular study and attendance while focusing on areas with lower performance.
82.8,91.25923,Excellent,Maintain current study habits and continue consistent academic performance.
96.1,94.844086,Excellent,Maintain current study habits and continue consistent academic performance.
75.0,78.69814,Good,Maintain regular study and attendance while focusing on areas with lower performance.
74.9,76.737366,Good,Maintain regular study and attendance while focusing on areas with lower performance.
