gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score
Female,5.1,82.8,8.1,Bachelors,Yes,Yes,No,95.7,100.0
Female,0.9,82.2,6.4,Bachelors,Yes,Yes,No,64.4,79.2
Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8
Female,0.5,93.2,5.6,High School,No,No,Yes,83.9,61.8
Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68.0
Male,4.6,79.2,6.6,High School,Yes,Yes,Yes,57.9,80.3
Female,5.8,83.3,7.1,Bachelors,No,Yes,No,73.0,88.6
Female,3.6,87.8,6.4,High School,Yes,Yes,No,48.5,69.4
Male,5.9,82.5,6.6,Bachelors,Yes,Yes,No,66.5,100.0
Female,1.4,100.0,7.8,High School,No,No,No,72.9,81.8
Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6
Female,3.4,92.3,4.9,Masters,Yes,No,No,51.5,85.3
Male,4.1,91.6,8.9,Bachelors,No,Yes,No,89.1,99.8
Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3
Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5
Male,3.4,72.0,7.6,Bachelors,Yes,No,No,66.9,84.3
Male,1.5,89.0,6.2,Masters,Yes,No,No,59.4,74.5
Male,4.5,78.5,7.1,Bachelors,Yes,No,No,73.2,89.5
Male,4.0,79.7,7.2,Masters,Yes,Yes,No,67.4,80.4
Male,2.1,90.9,6.5,Bachelors,No,Yes,Yes,55.9,71.1
Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8
Male,1.9,85.2,6.0,High School,Yes,No,No,62.5,73.0
Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8
Female,4.9,100.0,5.8,Bachelors,Yes,No,No,85.9,97.4
Female,2.0,87.4,6.7,High School,Yes,Yes,No,63.9,67.8
Male,4.3,100.0,5.9,Bachelors,No,Yes,No,62.7,79.2
Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5
Female,2.3,67.4,8.6,High School,Yes,No,No,90.9,85.1
Female,3.3,92.5,6.1,High School,Yes,Yes,No,54.5,79.6
Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4
Male,2.7,97.9,7.4,Masters,Yes,Yes,No,81.0,94.6
Female,1.7,91.7,7.4,Bachelors,Yes,Yes,No,75.1,77.6
Male,6.4,83.6,6.9,High School,Yes,Yes,No,69.3,99.9
Female,3.6,72.8,7.7,Masters,No,No,No,49.6,64.4
Female,2.5,82.9,7.4,High School,Yes,Yes,No,60.3,71.9
Female,3.8,76.5,5.3,Bachelors,Yes,Yes,No,72.3,79.3
Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9
Female,3.2,90.9,7.9,High School,Yes,No,No,72.4,87.4
Male,4.4,100.0,5.9,High School,Yes,No,No,78.2,97.6
Female,4.6,88.9,6.8,Bachelors,Yes,Yes,No,81.6,74.5
Male,2.7,73.0,7.6,High School,Yes,No,Yes,55.3,64.1
Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4,90.0
Male,3.1,97.0,8.1,Bachelors,Yes,Yes,Yes,79.2,99.3
Male,0.5,78.9,9.6,Bachelors,Yes,Yes,Yes,70.0,63.9
Female,1.2,83.7,5.9,Bachelors,Yes,No,No,83.1,79.0
Male,5.6,85.1,5.1,Masters,Yes,No,No,98.4,100.0
Female,6.0,77.2,7.2,High School,Yes,No,No,52.7,78.9
Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5
Female,4.4,83.8,6.5,High School,Yes,No,No,41.5,71.7
Female,4.0,89.2,8.5,High School,Yes,Yes,Yes,72.3,86.3
Female,8.1,76.1,5.2,Bachelors,Yes,Yes,No,74.4,98.3
Female,5.2,80.6,7.6,Bachelors,Yes,Yes,No,69.5,88.1
Female,3.3,92.2,6.1,PhD,Yes,Yes,No,62.1,99.6
Female,2.1,81.3,8.9,Bachelors,Yes,No,No,45.4,74.8
Female,1.1,100.0,9.2,High School,Yes,No,Yes,74.5,87.4
Female,3.8,81.0,5.9,High School,No,No,No,87.5,88.5
Female,2.4,87.2,6.1,High School,Yes,Yes,Yes,62.9,65.2
Male,1.4,94.3,7.8,High School,No,No,No,75.3,79.2
Male,2.5,70.8,6.3,High School,Yes,Yes,No,51.2,74.5
Female,1.9,67.4,6.7,Bachelors,Yes,Yes,Yes,75.5,66.3
Female,6.0,69.7,6.8,Bachelors,No,No,No,65.3,89.5
Female,4.8,97.6,4.5,High School,Yes,No,No,60.9,92.7
Female,3.5,79.5,6.8,High School,Yes,No,Yes,60.9,87.2
Female,5.7,100.0,6.0,Masters,Yes,Yes,Yes,65.3,92.5
Female,3.6,79.4,6.2,High School,Yes,Yes,Yes,74.6,75.7
Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3,74.0
Female,5.8,100.0,5.3,High School,Yes,Yes,No,65.2,100.0
Male,4.3,100.0,7.8,High School,No,No,Yes,69.5,75.5
Female,1.9,100.0,6.5,High School,Yes,No,Yes,56.8,61.7
Male,3.2,97.1,6.5,Bachelors,No,No,No,91.6,91.4
Female,2.2,95.2,7.7,High School,No,Yes,No,59.8,72.7
Female,1.4,90.9,7.2,Bachelors,Yes,No,No,62.0,74.6
Male,4.9,92.8,7.5,High School,Yes,Yes,No,58.3,96.5
Female,6.4,79.5,8.0,Masters,No,No,Yes,91.6,94.5
Male,1.4,76.8,6.4,High School,No,Yes,No,76.6,59.3
Female,4.3,85.0,6.1,High School,Yes,Yes,No,58.8,96.2
Female,2.5,83.3,5.5,Bachelors,Yes,Yes,Yes,83.3,75.3
Male,2.8,80.5,5.8,Bachelors,Yes,No,No,72.4,73.3
Female,2.6,92.0,10.0,High School,Yes,Yes,No,73.1,95.8
Male,2.2,94.6,8.3,High School,Yes,Yes,No,65.9,81.0
Female,3.6,85.9,5.2,Masters,Yes,No,Yes,61.0,76.5
Male,2.3,99.8,5.2,Bachelors,Yes,Yes,No,74.1,88.1
Male,3.9,73.6,7.4,Bachelors,Yes,Yes,No,63.5,88.1
Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8,92.1
Female,3.1,77.8,7.5,Bachelors,Yes,Yes,No,54.8,85.2
Male,2.1,66.3,6.5,High School,Yes,No,Yes,88.4,63.0
Female,2.6,84.2,6.6,High School,Yes,No,Yes,68.7,81.1
Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6,87.1
Female,4.3,100.0,6.9,High School,Yes,No,Yes,80.0,100.0
Male,2.0,91.3,4.1,High School,Yes,Yes,No,62.4,75.7
Male,3.6,74.8,6.5,Bachelors,No,Yes,No,80.4,77.3
Male,4.6,100.0,5.8,Masters,Yes,Yes,No,37.5,85.6
Male,1.0,97.2,7.0,High School,Yes,Yes,No,61.4,80.8
Male,4.3,90.8,10.0,Bachelors,Yes,Yes,No,58.9,94.5
Male,2.5,82.7,7.2,High School,No,No,Yes,55.0,59.7
Male,4.4,75.4,6.4,High School,Yes,No,No,67.4,80.9
Male,2.4,81.3,7.9,High School,Yes,Yes,No,74.6,82.6
Male,0.8,95.9,7.4,Masters,Yes,No,No,78.4,80.2
Female,1.1,100.0,7.3,Masters,Yes,No,Yes,72.9,82.4
Male,3.6,100.0,7.5,Bachelors,Yes,No,No,62.0,75.9
Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5
Female,2.1,73.8,5.4,High School,Yes,Yes,Yes,71.5,69.6
Female,4.5,86.4,7.4,High School,Yes,No,Yes,81.2,86.8
Male,1.0,67.3,5.7,High School,Yes,No,No,79.3,65.2
Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82.0
Male,1.7,83.5,5.7,Masters,Yes,Yes,Yes,59.2,46.8
Male,2.5,80.3,6.3,High School,Yes,Yes,Yes,62.2,68.6
Female,3.6,69.1,6.4,High School,Yes,Yes,Yes,63.4,69.2
Male,2.2,90.1,8.0,PhD,Yes,Yes,No,66.2,84.7
Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2,75.9
Male,5.0,73.3,5.3,High School,Yes,No,Yes,78.6,84.7
Male,2.6,56.3,6.9,Bachelors,No,Yes,No,69.4,75.7
Male,4.8,84.7,5.9,Bachelors,Yes,No,No,70.2,95.4
Female,1.8,100.0,5.3,High School,Yes,Yes,No,71.7,87.6
Male,4.3,100.0,6.5,High School,Yes,No,No,63.8,87.7
Female,5.7,80.4,6.4,Masters,Yes,Yes,Yes,58.9,89.3
Male,0.5,79.0,9.7,High School,Yes,Yes,No,48.9,63.7
Female,2.3,89.7,7.3,Masters,Yes,No,Yes,61.7,74.0
Male,4.4,75.0,5.1,Bachelors,Yes,No,No,75.7,87.9
Male,3.2,88.0,6.1,Bachelors,Yes,No,No,61.6,76.6
Female,4.1,92.7,8.0,Masters,Yes,Yes,Yes,67.1,97.3
Female,2.6,97.3,9.3,Masters,Yes,Yes,No,75.6,90.2
Female,3.6,84.0,4.9,PhD,Yes,No,No,76.2,88.7
Male,3.3,83.0,4.5,High School,Yes,Yes,No,57.0,84.8
Female,5.3,76.2,9.0,Masters,Yes,No,No,82.0,100.0
Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5,82.1
Male,4.0,82.7,5.8,Bachelors,No,Yes,Yes,56.4,75.1
Female,2.9,88.7,7.4,Bachelors,No,Yes,Yes,60.1,78.1
Female,2.8,94.1,3.6,Bachelors,Yes,Yes,No,84.3,92.9
Male,2.9,77.0,6.8,Bachelors,Yes,No,No,68.2,71.8
Male,4.1,99.9,7.2,High School,Yes,No,No,43.4,78.5
Female,2.9,82.3,7.9,High School,Yes,Yes,No,53.2,82.6
Female,3.9,84.8,5.6,Masters,Yes,No,No,67.0,79.2
Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56.0,89.7
Male,4.8,60.8,5.7,High School,Yes,Yes,No,65.0,89.2
Male,3.0,93.8,7.1,High School,No,Yes,No,70.4,81.7
Male,5.3,92.4,5.7,High School,Yes,No,No,87.5,96.7
Male,2.9,82.2,6.3,PhD,Yes,No,No,66.5,73.7
Male,0.5,85.7,5.6,High School,Yes,No,No,82.9,77.1
Male,2.0,90.2,7.6,High School,Yes,No,Yes,87.1,76.5
Female,0.7,69.4,7.8,High School,Yes,No,No,87.2,73.2
Male,3.0,79.7,6.5,Bachelors,Yes,No,No,73.4,83.6
Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4,85.8
Male,6.0,72.5,5.1,Bachelors,Yes,No,No,75.5,95.7
Female,4.0,87.9,6.4,Bachelors,Yes,Yes,No,82.6,89.2
Male,3.2,71.4,6.7,Bachelors,Yes,Yes,Yes,69.0,83.1
Male,4.7,89.7,9.9,Bachelors,Yes,Yes,No,90.9,100.0
Female,0.5,84.6,5.5,Bachelors,Yes,Yes,No,80.3,67.2
Male,3.9,68.8,8.6,High School,Yes,No,No,76.8,84.6
Male,4.7,96.6,8.0,Bachelors,Yes,Yes,Yes,83.0,100.0
Male,1.3,77.7,7.1,Bachelors,Yes,No,No,74.0,75.2
Male,5.2,76.9,8.9,Bachelors,Yes,Yes,No,40.1,81.1
Male,4.0,87.0,7.2,High School,Yes,Yes,No,64.0,96.5
Female,2.9,96.5,7.3,Masters,No,Yes,No,84.4,79.8
Female,4.4,74.8,6.7,High School,Yes,No,No,60.3,73.4
Female,6.9,85.6,8.3,Bachelors,Yes,Yes,No,67.3,92.2
Male,3.8,89.3,8.1,Masters,Yes,Yes,No,57.5,87.3
Male,3.9,91.9,6.0,Bachelors,No,No,No,91.4,92.5
Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2,94.6
Female,2.2,81.3,6.6,Masters,Yes,Yes,No,59.4,75.5
Male,4.7,76.7,5.8,Bachelors,Yes,Yes,No,71.8,85.3
Male,2.2,85.9,6.7,Masters,Yes,Yes,No,61.8,76.7
Female,3.6,74.3,8.3,Masters,Yes,No,No,77.4,86.8
Male,2.8,55.8,6.3,Bachelors,Yes,Yes,Yes,76.1,61.1
Female,4.2,89.4,6.7,Bachelors,Yes,Yes,Yes,79.7,100.0
Female,4.0,94.0,6.9,High School,No,Yes,No,74.0,90.9
Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100.0,96.1
Male,2.7,74.9,4.1,Bachelors,Yes,No,No,57.7,73.1
Male,3.1,91.2,6.1,Bachelors,Yes,Yes,No,49.5,81.2
Male,2.0,100.0,7.1,Bachelors,Yes,Yes,No,65.3,81.8
Male,2.8,85.2,8.2,High School,Yes,Yes,Yes,51.2,70.0
Male,4.1,77.7,6.2,High School,Yes,Yes,Yes,52.1,78.5
Male,4.6,83.2,4.5,Bachelors,Yes,Yes,No,58.0,84.7
Male,2.1,98.7,7.5,High School,Yes,No,No,58.9,74.7
Female,4.8,78.5,6.0,Masters,Yes,No,No,58.5,91.2
Male,5.5,77.0,5.4,High School,Yes,No,No,76.2,93.4
Female,4.1,80.2,6.1,Bachelors,Yes,No,No,63.9,86.8
Male,6.3,75.5,6.6,High School,Yes,No,No,67.8,100.0
Male,2.3,86.2,6.1,High School,Yes,Yes,No,80.7,84.3
Male,1.6,100.0,4.2,Bachelors,No,No,No,60.8,71.5
Female,0.8,88.2,7.9,High School,No,No,Yes,66.8,70.5
Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4,89.9
Female,4.5,82.1,7.6,Bachelors,Yes,Yes,No,46.7,81.1
Female,3.4,69.4,5.4,Bachelors,Yes,Yes,No,41.4,67.4
Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2,82.2
Female,1.8,84.2,6.8,PhD,Yes,No,Yes,75.9,90.0
Male,7.2,83.2,7.5,High School,Yes,No,No,94.8,100.0
Male,3.7,100.0,7.6,High School,Yes,Yes,Yes,71.9,82.7
Female,3.7,88.0,5.9,PhD,Yes,Yes,No,79.8,98.3
Female,4.6,77.5,6.9,Bachelors,Yes,Yes,No,67.7,91.5
Female,4.2,80.7,7.3,PhD,Yes,No,No,73.6,82.2
Female,3.8,96.5,8.5,Bachelors,Yes,Yes,No,90.0,100.0
Female,2.3,86.1,7.6,Masters,Yes,Yes,No,44.5,80.2
Female,4.2,70.6,7.7,Bachelors,Yes,No,No,75.0,85.7
Female,6.3,94.2,6.9,Masters,Yes,Yes,No,95.6,100.0
Female,5.5,78.3,8.5,High School,Yes,No,No,73.4,84.4
Male,5.9,100.0,7.3,Bachelors,Yes,Yes,No,89.8,100.0
Female,2.7,95.8,5.8,High School,Yes,No,Yes,62.4,84.6
Female,2.0,80.5,8.5,High School,Yes,No,Yes,69.6,80.6
Male,3.3,97.8,7.6,High School,Yes,No,Yes,70.4,85.1
Female,3.6,85.7,6.3,High School,Yes,No,Yes,43.4,69.4
Male,5.1,93.5,6.2,High School,Yes,Yes,No,56.0,92.2
Male,1.0,89.8,7.2,Bachelors,Yes,Yes,No,56.8,76.2
Female,5.8,76.5,7.4,Bachelors,Yes,Yes,No,79.9,100.0
Male,3.3,78.6,7.0,Bachelors,Yes,No,No,80.5,92.2
Male,2.9,95.3,7.2,Bachelors,No,No,No,73.9,76.5
Male,2.0,81.7,8.8,High School,Yes,Yes,No,79.9,82.7
Male,1.0,81.0,8.1,High School,Yes,No,No,68.0,67.1
Female,4.7,75.4,7.0,High School,Yes,Yes,Yes,84.4,88.4
Male,3.6,89.2,7.9,Bachelors,Yes,No,Yes,70.1,91.0
Female,1.6,100.0,5.6,High School,No,No,No,70.7,75.8
Male,1.6,74.3,7.3,High School,Yes,Yes,No,66.8,88.3
Male,3.0,85.2,9.0,Bachelors,Yes,Yes,Yes,78.2,87.6
Male,6.0,99.1,6.5,Masters,Yes,Yes,Yes,64.9,96.8
Male,3.1,84.2,5.8,High School,Yes,No,No,81.7,86.7
Female,1.2,89.5,6.0,Bachelors,Yes,Yes,Yes,56.4,63.7
Female,3.1,74.4,5.5,Masters,Yes,Yes,No,56.8,73.0
Male,3.1,89.3,5.9,Masters,Yes,Yes,No,78.2,94.3
Male,0.5,83.1,6.4,High School,Yes,Yes,No,68.9,71.3
Female,3.4,94.9,5.1,High School,Yes,Yes,No,64.6,79.7
Male,3.2,96.9,6.8,High School,No,No,No,80.7,81.2
Male,4.5,100.0,7.9,PhD,Yes,Yes,No,62.7,91.1
Male,6.3,90.8,5.7,Bachelors,Yes,No,No,67.6,97.5
Female,5.2,88.3,8.6,Bachelors,Yes,No,No,86.8,100.0
Female,3.1,86.9,7.4,Masters,Yes,Yes,Yes,88.5,81.6
Female,1.8,81.5,8.0,Masters,Yes,Yes,No,88.9,83.9
Male,7.4,88.4,6.0,High School,Yes,No,No,66.6,100.0
Male,3.6,82.0,7.8,High School,Yes,No,No,84.8,80.2
Female,3.5,86.7,5.5,Masters,Yes,Yes,No,58.6,75.1
Female,3.5,98.2,7.9,High School,No,Yes,No,59.1,78.2
Female,3.8,74.9,7.0,PhD,Yes,Yes,Yes,41.8,64.7
Female,3.3,96.4,7.5,High School,Yes,No,No,90.1,97.8
Male,2.6,98.2,5.4,High School,No,Yes,No,59.6,74.4
Female,2.7,83.8,5.7,PhD,Yes,Yes,No,68.5,76.4
Male,3.5,63.8,7.5,High School,Yes,No,No,59.1,76.3
Female,2.7,78.9,5.7,High School,Yes,No,Yes,78.3,88.3
Male,2.4,98.0,7.4,High School,Yes,Yes,No,65.5,94.0
Female,3.7,84.8,5.2,PhD,No,Yes,Yes,54.3,58.8
Female,3.1,75.0,7.8,Bachelors,No,No,No,75.3,81.1
Female,5.8,80.0,5.3,Masters,Yes,Yes,No,52.8,84.5
Female,0.5,93.4,7.5,High School,Yes,Yes,Yes,60.0,69.9
Male,5.1,90.5,7.6,Masters,Yes,No,No,44.7,82.2
Female,5.4,82.6,6.0,Masters,Yes,Yes,Yes,52.9,83.3
Male,0.5,81.3,7.5,High School,Yes,No,Yes,72.1,69.5
Male,3.0,81.1,7.1,Bachelors,Yes,No,No,46.4,68.5
Male,2.9,75.8,6.2,High School,No,Yes,No,52.2,61.5
Male,1.4,100.0,5.6,High School,No,Yes,No,70.0,72.3
Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5,74.1
Male,1.8,97.2,7.2,High School,Yes,No,No,93.9,94.9
Male,6.1,100.0,4.9,High School,Yes,No,No,92.0,100.0
Male,4.9,95.0,6.9,Masters,Yes,No,Yes,59.6,84.5
Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7,93.7
Female,4.6,89.0,7.6,Masters,Yes,No,No,79.0,100.0
Female,1.8,84.8,6.4,High School,Yes,Yes,No,62.8,81.6
Female,2.7,76.0,6.4,Bachelors,Yes,Yes,No,52.1,70.9
Male,4.2,88.2,7.7,High School,Yes,Yes,No,69.9,89.6
Male,1.7,73.2,7.2,Masters,No,Yes,No,67.9,69.2
Female,4.6,96.9,7.2,Masters,Yes,No,Yes,64.8,82.3
Male,3.1,80.4,7.4,Bachelors,Yes,Yes,Yes,75.3,80.9
Male,2.9,87.0,5.0,High School,Yes,Yes,No,61.0,82.4
Male,4.6,87.8,7.7,Bachelors,Yes,Yes,No,56.2,91.0
Female,4.2,82.4,7.5,High School,No,No,No,71.3,81.6
Female,3.0,90.9,5.6,Bachelors,Yes,No,Yes,74.6,83.2
Male,5.2,80.3,6.5,Bachelors,Yes,Yes,No,55.9,80.7
Female,1.9,93.7,6.8,Masters,Yes,Yes,Yes,81.1,87.2
Female,4.4,71.5,6.6,High School,Yes,Yes,Yes,48.8,72.8
Female,4.4,86.3,7.2,Bachelors,Yes,No,No,63.1,85.2
Female,3.0,100.0,8.5,High School,Yes,No,Yes,66.9,83.3
Female,4.0,75.0,8.1,High School,Yes,Yes,No,62.4,82.6
Male,1.6,78.2,5.2,Masters,Yes,No,Yes,63.2,63.4
Female,4.9,90.1,7.5,High School,Yes,Yes,No,92.5,100.0
Male,3.2,86.8,8.4,Bachelors,Yes,No,No,59.8,79.4
Male,2.7,88.5,7.3,Masters,Yes,Yes,No,99.3,100.0
Female,5.1,89.9,8.1,PhD,Yes,Yes,No,75.2,100.0
Male,2.4,91.3,9.2,Masters,No,Yes,Yes,71.1,72.9
Male,1.4,96.1,8.0,High School,No,Yes,No,75.7,79.2
Male,1.2,89.1,7.1,High School,Yes,No,No,100.0,84.2
Female,4.4,82.6,8.1,Bachelors,Yes,Yes,Yes,58.1,80.7
Female,1.6,91.7,7.0,High School,Yes,No,No,56.6,85.3
Male,6.1,100.0,6.8,High School,Yes,No,Yes,60.9,93.1
Female,0.5,83.7,6.4,Bachelors,Yes,Yes,No,70.4,73.5
Female,6.0,75.3,8.7,High School,Yes,Yes,No,49.3,90.8
Female,3.8,96.1,5.8,High School,Yes,Yes,Yes,70.3,80.8
Female,3.4,83.8,8.6,High School,Yes,No,No,90.3,88.9
Male,2.7,63.3,7.4,Masters,No,Yes,No,71.8,63.7
Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5,82.6
Female,3.4,79.6,7.2,High School,Yes,Yes,No,62.6,63.7
Female,5.2,84.1,4.3,PhD,Yes,No,No,80.8,96.6
Male,3.7,88.3,7.6,PhD,Yes,Yes,No,60.1,97.0
Male,3.7,86.9,7.9,Masters,No,Yes,No,92.2,93.3
Female,3.0,92.1,6.1,High School,Yes,Yes,Yes,93.2,82.8
Male,3.4,80.6,6.9,Masters,Yes,Yes,No,73.1,81.2
Female,4.0,90.1,9.1,High School,Yes,No,No,69.9,88.7
Female,0.9,82.4,6.2,Masters,Yes,Yes,No,82.4,71.2
Male,1.5,92.4,5.5,High School,Yes,No,No,83.1,87.1
Male,4.6,91.2,8.6,Bachelors,Yes,No,No,60.3,94.9
Female,3.8,75.6,9.2,Bachelors,Yes,No,No,63.7,76.1
Female,3.2,95.9,6.8,Bachelors,Yes,No,No,54.1,85.1
Male,3.5,79.6,8.0,High School,Yes,Yes,No,74.9,96.3
Female,4.0,93.1,8.4,High School,Yes,Yes,No,78.0,100.0
Male,2.7,88.7,5.9,Masters,Yes,No,No,53.8,92.0
Female,2.3,100.0,6.2,PhD,Yes,Yes,No,64.5,77.2
Male,3.8,82.8,8.3,High School,Yes,No,No,53.8,97.5
Male,2.0,81.5,8.8,High School,Yes,Yes,Yes,59.2,70.6
Male,4.1,84.8,7.5,High School,Yes,No,No,76.6,87.2
Female,0.9,82.0,5.7,Masters,Yes,No,No,61.2,69.0
Female,5.0,93.0,9.2,Masters,Yes,Yes,Yes,66.4,90.2
Male,4.2,68.8,6.2,Masters,Yes,Yes,Yes,50.5,74.0
Female,3.9,74.5,6.4,High School,Yes,No,No,72.2,75.3
Male,5.0,74.3,7.2,High School,Yes,No,No,69.5,86.5
Male,6.0,94.5,8.7,PhD,Yes,Yes,No,61.3,100.0
Female,5.0,100.0,7.8,High School,Yes,No,Yes,67.7,93.6
Female,0.7,84.0,7.3,Masters,Yes,Yes,Yes,72.2,72.0
Male,1.6,83.3,7.4,Masters,Yes,Yes,No,60.2,76.2
Female,2.6,85.7,6.9,Masters,Yes,No,No,52.3,80.9
Female,3.5,96.6,7.5,High School,Yes,No,Yes,91.7,85.3
Male,4.3,75.7,3.8,PhD,Yes,No,No,62.4,81.9
Male,2.4,87.4,6.4,High School,Yes,No,No,68.8,78.0
Female,3.8,94.8,7.1,High School,Yes,Yes,Yes,82.1,93.6
Male,2.4,90.0,5.4,Masters,Yes,No,Yes,100.0,95.1
Male,2.6,86.9,7.3,Bachelors,Yes,Yes,Yes,55.1,66.7
Female,1.4,95.0,6.6,Masters,Yes,Yes,No,75.4,75.6
Male,2.1,58.0,8.9,Bachelors,Yes,Yes,No,61.5,57.4
Male,1.5,91.8,8.7,High School,Yes,Yes,No,63.5,75.4
Female,2.0,78.5,6.2,Masters,Yes,Yes,No,61.4,80.5
Female,5.1,66.7,6.6,Bachelors,No,Yes,No,56.5,75.1
Male,2.1,90.1,6.7,High School,No,Yes,No,69.5,67.8
Male,7.4,98.7,6.3,Masters,Yes,Yes,No,52.3,97.4
Female,4.2,83.6,7.0,Bachelors,Yes,No,Yes,81.4,80.2
Female,3.8,94.5,5.9,Bachelors,Yes,Yes,No,70.7,82.8
Female,2.2,100.0,5.4,Bachelors,Yes,Yes,No,75.1,87.8
Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4,85.8
Male,2.6,100.0,7.6,Masters,Yes,No,No,65.6,91.7
Female,3.7,92.4,5.8,Masters,Yes,No,Yes,73.5,84.9
Female,7.3,85.8,7.9,High School,Yes,Yes,No,56.0,99.3
Male,3.4,69.0,6.0,Masters,Yes,No,No,65.7,74.3
